TARGET_B,TARGET_D,CONTROL_NUMBER,MONTHS_SINCE_ORIGIN,DONOR_AGE,IN_HOUSE,URBANICITY,CLUSTER_CODE,HOME_OWNER,DONOR_GENDER,INCOME_GROUP,PUBLISHED_PHONE,WEALTH_RATING,MEDIAN_HOME_VALUE,MEDIAN_HOUSEHOLD_INCOME,PCT_OWNER_OCCUPIED,PEP_STAR,RECENT_STAR_STATUS,recency_freq_status,RECENT_CARD_RESPONSE_PROP,MONTHS_SINCE_LAST_PROM_RESP,LAST_GIFT_AMT,NUMBER_PROM_12,MONTHS_SINCE_LAST_GIFT,MONTHS_SINCE_FIRST_GIFT
0,0,7261,137,16,1,T,41,U,F,,0,2,251,202,78,1,0,A2,0.3,16,10,32,16,129
0,0,7987,137,16,1,U,7,H,U,5,1,5,2598,344,39,1,0,A1,0.273,15,10,15,15,130
0,0,37894,125,16,0,U,10,U,U,,0,1,511,127,41,1,0,A1,0,26,15,9,26,122
1,14,66300,101,16,0,U,2,U,M,1,0,7,675,178,39,1,0,A4,0.273,18,16,14,18,93
1,10,72409,137,16,0,T,41,H,F,2,0,3,318,296,76,1,0,A1,0.2,23,10,4,23,129
0,0,78879,77,16,0,S,20,U,F,,0,7,605,200,47,1,1,S2,0.091,15,15,13,15,74
0,0,129939,89,16,0,U,10,U,F,1,1,1,616,162,30,0,0,A3,0.286,18,16,9,18,89
0,0,137236,113,16,0,C,29,U,F,4,1,4,574,233,93,1,1,S2,0.364,21,10,12,21,102
1,14,155114,89,16,0,S,17,U,U,,0,2,1176,251,42,1,0,A3,0.4,18,10,13,18,80
0,0,826,65,17,0,T,41,U,F,,0,1,348,178,80,1,0,A1,0.889,12,16,21,4,65
0,0,2989,29,17,1,U,4,H,M,5,1,,851,238,45,0,0,A1,0.167,24,20,20,16,28
0,0,3311,137,17,1,R,53,U,F,5,1,3,296,200,71,1,0,A1,0.25,24,10,23,4,124
0,0,3325,113,17,1,C,24,H,M,3,1,9,701,322,76,1,1,S2,0,18,10,32,5,105
0,0,3612,89,17,1,C,23,H,F,5,1,9,1345,564,76,0,0,A2,0.375,17,25,28,15,81
0,0,3915,101,17,1,U,8,H,F,5,0,,1894,306,48,0,0,A3,0.364,17,10,31,7,92
1,15,4320,41,17,1,T,40,U,F,1,1,,738,332,81,1,0,A3,0.333,15,16,14,15,45
0,0,4726,137,17,1,R,42,U,M,1,1,1,921,258,64,1,0,A1,0.222,19,10,26,19,126
0,0,6123,137,17,1,T,35,U,M,2,1,7,760,474,92,1,1,S3,0.273,17,19,30,17,129
0,0,6562,77,17,1,U,3,H,M,1,1,5,4658,637,59,1,1,S3,0.273,21,10,30,18,68
0,0,6675,89,17,1,C,26,U,F,,0,4,2306,392,67,1,0,A2,0.182,19,13,36,4,89
0,0,7701,137,17,1,R,42,H,F,2,1,4,478,224,73,1,0,A1,0.111,16,10,34,7,126
0,0,8310,101,17,1,T,40,H,M,5,1,,715,309,78,0,0,A1,0,26,25,10,26,104
0,0,8711,137,17,1,U,9,U,F,1,0,0,535,177,6,1,0,A1,0.3,25,10,12,25,128
0,0,11147,29,17,1,C,30,H,F,2,1,,390,222,92,0,0,N3,0.5,15,10,25,15,26
1,102,12573,137,17,1,?,,U,F,,0,8,1375,285,25,1,1,S4,0.455,20,133,28,5,127
0,0,14735,89,17,1,C,27,U,F,2,1,4,894,319,76,1,0,A1,0,26,10,12,26,81
0,0,20763,137,17,0,C,28,U,U,4,0,3,998,283,82,1,1,S2,0.333,17,10,8,17,130
0,0,22228,77,17,0,T,41,U,M,1,1,7,662,269,68,1,0,A1,0,27,15,10,27,76
0,0,23520,89,17,0,C,24,H,M,2,1,,805,310,74,0,0,A1,0.2,21,20,10,21,81
0,0,28150,125,17,0,S,13,U,F,5,1,9,3443,1008,90,1,0,A1,0,26,26,11,26,123
0,0,28313,77,17,0,S,20,H,F,4,0,,712,313,69,0,0,A1,0,19,20,11,19,75
1,47,32622,101,17,0,R,45,U,M,,0,2,533,201,80,1,0,A1,0,18,37,13,18,92
0,0,35055,113,17,0,T,37,U,M,1,1,5,1066,229,44,1,1,S3,0.182,19,10,13,18,105
0,0,35168,65,17,0,S,11,H,M,5,1,9,1711,644,67,0,0,A2,0.375,16,25,14,16,63
0,0,38105,113,17,0,U,4,U,F,,1,6,876,426,93,1,1,S4,0.286,17,4,6,17,112
1,3,38106,113,17,0,U,4,H,F,6,1,5,1806,243,57,1,1,S4,0.545,15,2,11,15,113
0,0,38948,137,17,0,U,3,U,M,2,1,8,1102,377,73,1,1,S2,0.167,15,10,7,15,123
0,0,40317,125,17,0,C,23,U,F,,0,6,2322,732,98,1,0,A1,0,26,11,11,26,122
0,0,42424,29,17,0,R,48,H,M,2,1,,583,208,93,0,0,N2,0.4,20,10,12,20,24
1,10,43663,77,17,0,C,33,H,F,1,0,2,620,265,90,0,0,A4,0.5,17,3,8,15,69
0,0,45339,101,17,0,U,8,U,M,,0,6,645,288,82,1,1,S2,0,19,12,8,19,91
0,0,45798,89,17,0,S,20,H,F,4,1,6,877,332,72,0,0,A2,0.333,17,15,13,17,80
0,0,46751,137,17,0,T,40,H,M,1,0,5,694,326,76,1,0,A1,0.1,17,20,12,17,127
0,0,49033,77,17,0,R,49,H,M,3,1,9,870,498,87,0,0,L1,0.111,15,19,12,15,69
1,15,54600,77,17,0,C,27,H,F,2,1,,653,263,39,0,0,A1,0.143,18,15,11,18,68
0,0,55762,137,17,0,C,23,U,F,1,1,,970,429,89,1,1,S3,0.4,17,5,12,17,112
0,0,61139,137,17,0,C,23,H,M,5,1,7,781,321,62,1,1,S4,0.364,16,5,8,16,130
0,0,62699,137,17,0,R,51,U,F,1,1,2,294,252,79,1,1,S4,0.3,16,2,13,16,128
1,12,65634,137,17,0,C,33,U,F,1,1,0,413,95,7,1,0,A1,0.333,18,12,13,18,128
1,100,67712,137,17,0,U,4,U,F,,0,8,459,116,32,1,1,S4,0.091,19,75,13,19,126
0,0,73387,41,17,0,C,30,H,F,1,1,,249,148,59,0,0,A2,0.333,17,20,12,17,41
0,0,75640,101,17,0,R,44,U,F,2,1,8,578,374,84,1,1,S2,0.111,24,10,13,18,101
0,0,75687,113,17,0,C,31,U,F,1,0,0,260,76,19,1,1,S3,0.455,21,13,15,21,113
0,0,79631,89,17,0,S,11,H,M,5,1,9,904,411,59,1,1,S3,0.375,16,12,9,16,89
0,0,87767,41,17,0,U,3,U,M,2,1,,1897,406,77,1,0,A4,0.6,17,4,12,15,45
0,0,88024,137,17,0,T,35,H,F,7,1,,1142,460,80,1,1,S3,0.25,15,3,10,15,129
0,0,88233,137,17,0,S,12,H,F,5,0,8,1648,360,48,1,0,E1,0.143,15,10,9,15,125
1,20,89174,89,17,0,S,13,H,M,6,1,9,5324,1159,93,0,0,A1,0.1,24,27,12,24,81
0,0,92145,137,17,0,S,16,H,U,5,1,5,1041,349,89,1,1,S3,0.273,17,12,13,17,129
0,0,92612,137,17,0,S,12,H,F,4,1,7,1159,487,85,1,0,A1,0.167,21,12,5,21,126
0,0,95670,137,17,0,C,24,H,M,3,1,6,706,404,87,1,1,S3,0.182,17,10,14,17,127
0,0,95806,65,17,0,C,27,H,M,2,0,2,400,222,60,0,0,A2,0.125,17,20,13,17,57
0,0,95940,29,17,0,C,31,H,M,2,1,,364,206,43,0,0,A1,0,19,25,13,19,28
0,0,96040,137,17,0,R,51,H,M,7,1,1,473,232,73,1,1,S3,0.6,17,6,11,17,130
0,0,99322,29,17,0,T,35,H,F,6,1,,1844,676,87,0,0,N3,0.2,18,20,14,18,24
0,0,100555,65,17,0,S,12,H,M,7,1,9,1192,530,95,1,1,S3,0.5,21,19,14,21,63
0,0,100710,101,17,0,S,16,H,M,3,1,3,539,292,94,1,0,A1,0.125,21,13,11,21,97
0,0,103030,17,17,0,T,41,H,M,2,0,,297,175,65,0,0,N2,0.333,17,30,13,17,20
1,5,103926,137,17,0,R,48,H,M,2,1,0,472,157,76,1,1,S3,0.375,18,9,6,18,127
0,0,106318,65,17,0,R,53,U,F,1,1,0,199,172,79,1,1,S3,0.333,21,10,12,18,57
0,0,108918,137,17,0,C,27,U,M,,0,6,511,269,79,1,1,S3,0.455,21,10,15,18,129
0,0,113738,77,17,0,C,24,H,M,2,1,4,618,320,80,1,0,A2,0.25,15,10,11,15,75
0,0,114662,89,17,0,C,26,H,F,2,1,,822,523,95,1,0,A1,0.125,21,15,11,21,81
1,11,117230,137,17,0,C,30,H,M,5,1,3,406,186,72,1,0,A2,0.2,17,10,6,17,126
0,0,118039,101,17,0,R,46,U,F,3,0,2,457,232,78,1,1,S2,0.286,16,15,10,16,91
0,0,120725,137,17,0,R,53,U,F,2,1,,283,144,78,1,0,A2,0,15,11,12,15,130
0,0,123130,41,17,0,S,14,H,M,5,0,9,1595,745,93,0,0,A1,0,26,15,11,26,45
0,0,126785,101,17,0,R,52,H,F,7,1,0,271,140,44,1,0,A2,0,,25,13,23,99
1,6,127759,29,17,0,T,36,H,M,7,1,,304,249,69,1,0,A3,0.429,18,6,13,18,33
0,0,129726,89,17,0,S,11,U,F,5,0,9,1148,441,90,1,1,S3,0.4,16,10,14,16,87
1,8,131468,77,17,0,S,16,U,U,,0,4,726,303,85,1,1,S4,0.455,17,11,14,17,75
0,0,131552,89,17,0,C,28,U,F,,0,4,1133,476,74,1,0,A1,0.167,24,15,6,24,79
0,0,137165,17,17,0,C,29,H,F,5,1,,808,305,98,0,0,F1,0.333,19,25,10,19,19
1,10,137199,65,17,0,C,23,H,F,2,1,5,723,270,94,0,0,A1,0.125,21,15,12,21,57
0,0,137378,125,17,0,C,24,H,F,5,1,8,943,484,87,1,0,A2,0.111,17,20,7,17,117
0,0,137710,65,17,0,R,45,H,M,2,1,3,461,242,81,1,1,S2,0.091,15,50,13,15,65
0,0,147692,29,17,0,S,13,H,M,7,1,,1319,328,64,1,0,A1,0.375,21,16,10,21,33
0,0,150072,113,17,0,U,2,U,F,1,1,,2897,550,50,1,0,A1,0.4,24,10,10,24,112
0,0,154382,17,17,0,C,26,H,M,5,1,,1252,263,54,0,0,F1,0.5,16,25,12,16,16
0,0,155330,137,17,0,T,35,U,F,,1,6,1916,424,94,1,1,S3,0.364,19,11,14,19,128
0,0,159065,89,17,0,T,40,H,M,5,1,,2303,395,83,0,0,A3,0.286,16,10,13,16,86
0,0,159659,89,17,0,R,46,U,M,1,1,3,988,271,71,1,0,A4,0.444,19,5,13,19,89
0,0,161082,89,17,0,T,35,H,M,5,1,5,1646,400,86,0,0,A3,0.143,18,12,12,18,86
0,0,163174,137,17,0,U,6,H,M,5,0,5,2447,401,83,1,0,A1,0,18,22,14,18,129
0,0,167418,137,17,0,S,11,H,F,7,1,8,4459,461,72,1,0,A1,0.143,17,12,11,17,130
0,0,169947,137,17,0,R,46,H,F,5,1,4,1719,338,74,1,1,S2,0.182,17,8,11,17,129
0,0,171772,17,17,0,U,5,H,M,2,1,,943,293,66,0,0,F1,0.5,15,25,4,15,15
0,0,172014,89,17,0,C,25,U,F,1,0,1,0,207,0,1,1,S2,0.2,23,10,13,18,86
0,0,176603,29,17,0,R,51,H,F,6,1,,465,280,81,0,0,N2,0.333,23,15,12,23,23
1,3,177523,125,17,0,T,37,H,F,5,0,,1901,470,77,1,1,S3,0.4,18,5,7,18,104
1,10,179359,137,17,0,T,35,U,F,2,1,9,2321,631,90,1,0,A1,0,26,10,9,26,130
0,0,183557,65,17,0,T,39,H,F,4,1,,786,266,75,0,0,A1,0.2,23,20,10,23,62
0,0,184116,89,17,0,T,40,H,M,4,0,7,979,456,96,0,0,A2,0.091,19,32,13,19,79
0,0,185213,101,17,1,R,47,U,F,5,1,2,584,235,90,1,0,A1,0.3,21,15,28,6,93
0,0,185467,137,17,1,R,46,U,F,4,0,7,338,260,77,1,1,S3,0.273,17,10,23,14,128
1,10,185901,41,17,0,?,,H,M,3,1,,674,317,61,1,0,A4,0.4,18,5,19,6,41
0,0,186917,137,17,1,U,3,H,M,6,0,9,4730,604,59,1,0,A1,0,20,25,19,7,128
0,0,188343,137,17,1,?,,U,F,7,1,3,565,287,59,1,1,S2,0.2,17,10,21,6,126
0,0,188869,113,17,0,T,34,U,F,5,1,7,782,349,72,1,0,A2,0.1,21,10,13,5,105
1,47,191056,41,17,1,U,1,U,M,4,1,9,5667,492,18,0,0,A1,0,26,32,18,26,44
0,0,7280,101,18,1,S,13,H,M,7,1,8,1322,418,82,1,0,E1,0.125,15,15,11,15,90
0,0,150822,137,18,0,U,8,H,M,4,0,4,1117,384,72,1,0,A2,0.125,17,10,8,15,130
0,0,25046,17,19,0,R,49,H,M,3,0,,760,253,90,0,0,N1,0.333,21,20,8,21,21
0,0,62426,53,19,0,R,44,H,M,4,0,,657,374,90,1,0,A3,0.143,19,10,13,19,53
1,5,87074,137,19,0,R,53,H,F,5,1,2,320,172,71,1,1,S2,0.182,21,17,13,21,128
0,0,163639,29,19,0,U,3,U,F,5,0,,4333,361,24,0,0,N1,0.333,23,20,8,23,23
1,7,164231,41,19,0,U,4,H,F,6,0,,2205,317,44,1,1,S3,0.5,21,5,12,17,40
1,40,150497,29,20,0,S,14,H,M,7,1,,3343,708,94,0,0,N1,0,15,25,12,15,27
0,0,34417,65,21,0,R,43,H,F,2,0,1,443,202,88,0,0,A3,0.273,15,14,14,15,64
0,0,38581,17,21,0,S,19,H,F,2,0,,775,309,67,0,0,N2,0.5,17,20,12,17,21
0,0,46034,29,21,0,C,24,H,F,4,1,,1319,473,96,0,0,N4,0.4,21,10,15,18,24
0,0,58703,29,21,0,R,53,H,F,4,1,,364,217,81,0,0,A1,0.2,18,20,11,18,31
0,0,78968,41,21,0,S,20,H,F,5,1,,438,305,87,0,0,A1,0,26,26,11,26,40
0,0,121115,41,21,0,U,10,H,F,1,1,,389,158,48,0,0,A3,0.222,21,8,12,21,41
1,5,122751,89,21,0,T,35,H,U,6,0,,0,0,0,1,0,A3,0.273,24,10,12,24,81
0,0,126909,17,21,0,T,38,H,F,3,1,,615,213,11,0,0,N2,0.5,16,20,13,16,16
0,0,128993,17,21,0,T,39,U,M,7,0,,562,223,88,0,0,F1,0,15,50,11,15,15
0,0,150218,41,21,0,S,20,U,M,1,0,3,2063,351,42,1,1,S4,0.818,17,3,13,15,45
0,0,151260,29,21,0,S,14,U,M,3,0,,3397,663,91,0,0,N1,0.2,23,20,8,23,23
0,0,160023,89,21,0,C,23,H,F,7,0,7,1341,488,67,1,0,E1,0,15,30,10,15,89
0,0,179626,17,21,0,U,2,U,F,2,1,,2281,526,87,0,0,F1,0.5,17,15,10,17,17
0,0,47418,41,22,0,S,13,H,F,4,1,,1273,523,78,0,0,A3,0.125,18,15,7,18,43
0,0,57375,137,22,0,S,21,H,F,2,1,8,574,341,80,1,0,E1,0,15,15,10,15,130
1,15,59249,17,22,0,S,14,H,M,6,0,,1781,762,96,0,0,F1,0.5,16,15,10,16,16
1,20,70944,17,22,0,T,39,U,F,3,0,,357,205,53,0,0,F1,0,19,20,11,19,19
0,0,79482,29,22,0,T,38,H,M,5,1,,708,319,51,0,0,A2,0.25,17,25,13,17,32
0,0,90849,113,22,0,C,30,H,F,4,1,,575,304,78,0,0,A2,0.167,17,10,11,17,105
0,0,91284,65,22,0,S,12,H,M,6,0,8,1480,597,92,1,1,S4,0.364,15,12,14,15,56
0,0,139940,41,22,0,T,34,U,F,4,1,,2514,438,71,0,0,A2,0.125,15,5,12,15,42
0,0,174758,41,22,0,T,40,U,F,6,0,,854,331,85,0,0,A1,0.143,15,15,11,15,35
1,10,4881,41,23,1,C,22,U,M,1,0,7,599,100,15,1,1,S3,0.545,16,9,19,16,45
0,0,17859,29,23,0,T,34,U,F,7,0,,969,515,64,1,0,A4,0.5,20,6,12,20,29
0,0,21176,29,23,0,C,25,H,M,3,1,,437,158,57,0,0,A1,0.333,20,20,12,20,29
0,0,29718,77,23,0,R,43,H,F,4,1,5,664,278,80,0,0,E1,0,15,20,9,15,75
1,10,38642,17,23,0,S,18,U,M,6,1,,731,350,67,0,0,F1,0.333,20,15,8,20,20
0,0,38857,17,23,0,U,10,U,F,1,0,,419,114,22,0,0,F1,0.5,17,50,11,17,17
0,0,43311,65,23,0,T,37,U,M,2,0,4,502,198,51,0,0,E1,0.2,15,20,10,15,52
0,0,49425,65,23,0,C,27,U,F,3,1,9,480,276,64,1,0,A1,0.125,16,10,13,16,63
0,0,55703,29,23,0,R,43,H,F,3,1,,386,155,86,0,0,A1,0,26,15,9,26,32
0,0,63209,29,23,0,R,43,H,F,3,1,,484,248,85,0,0,A1,0.25,25,17,11,25,29
1,10,71146,29,23,0,T,40,U,F,3,0,,602,336,85,1,0,A4,0.143,19,10,14,18,28
0,0,74131,41,23,0,R,49,H,M,4,1,,601,286,92,1,1,S4,0.3,15,10,13,15,41
0,0,82596,17,23,0,S,12,H,F,2,1,,808,352,96,0,0,F1,0,18,20,9,18,18
